,time_crawled,code,vaccinationsTotal,peopleFirstTotal,peopleFullTotal
130,2021-08-09 21:46:02,DE-BW,12564505,6711825,6169792
131,2021-08-09 21:46:02,DE-BY,14539190,7881801,6989883
132,2021-08-09 21:46:02,DE-HB,896649,487689,439714
133,2021-08-09 21:46:02,DE-HE,7100440,3912475,3364663
134,2021-08-09 21:46:02,DE-HH,2113951,1199702,972232
135,2021-08-09 21:46:02,DE-MV,1806923,974416,876247
136,2021-08-09 21:46:02,DE-NI,9282510,5217870,4382327
137,2021-08-09 21:46:02,DE-NW,21376094,11814041,10167591
138,2021-08-09 21:46:02,DE-RP,4756096,2608485,2264565
139,2021-08-09 21:46:02,DE-SH,3532060,1941615,1691375
140,2021-08-09 21:46:02,DE-SL,1228387,677549,582600
141,2021-08-09 21:46:02,DE-SN,4058126,2151601,1985237
142,2021-08-09 21:46:02,DE-ST,2350537,1271517,1155064
143,2021-08-09 21:46:02,DE-TH,2266428,1198447,1118824
144,2021-08-10 21:46:02,DE-BB,2640501,1429408,1289174
145,2021-08-10 21:46:02,DE-BE,4179797,2279764,1988596
146,2021-08-10 21:46:02,DE-BW,12593218,6718315,6193178
147,2021-08-10 21:46:02,DE-BY,14584903,7890039,7028587
148,2021-08-10 21:46:02,DE-HB,898203,488092,441117
149,2021-08-10 21:46:02,DE-HE,7119905,3917201,3380101
150,2021-08-10 21:46:02,DE-HH,2128975,1204585,982948
151,2021-08-10 21:46:02,DE-MV,1814315,975857,882336
152,2021-08-10 21:46:02,DE-NI,9318256,5224800,4412976
153,2021-08-10 21:46:02,DE-NW,21466786,11835008,10240357
154,2021-08-10 21:46:02,DE-RP,4769330,2612096,2274498
155,2021-08-10 21:46:02,DE-SH,3539184,1943242,1697125
156,2021-08-10 21:46:02,DE-SL,1233382,678504,586858
157,2021-08-10 21:46:02,DE-SN,4065906,2154561,1990332
158,2021-08-10 21:46:02,DE-ST,2358071,1273769,1160982
159,2021-08-10 21:46:02,DE-TH,2269711,1199314,1121409
160,2021-08-11 21:46:02,DE-BB,2652884,1432570,1298720
161,2021-08-11 21:46:02,DE-BE,4200877,2284757,2005130
162,2021-08-11 21:46:02,DE-BW,12636742,6726975,6229323
163,2021-08-11 21:46:02,DE-BY,14656981,7901219,7091038
164,2021-08-11 21:46:02,DE-HB,901403,488598,443937
165,2021-08-11 21:46:02,DE-HE,7147977,3923359,3402569
166,2021-08-11 21:46:02,DE-HH,2148461,1209152,998096
167,2021-08-11 21:46:02,DE-MV,1824201,978409,889962
168,2021-08-11 21:46:02,DE-NI,9370375,5232755,4459049
169,2021-08-11 21:46:02,DE-NW,21584572,11858219,10337435
170,2021-08-11 21:46:02,DE-RP,4808049,2624020,2302926
171,2021-08-11 21:46:02,DE-SH,3557148,1947217,1711891
172,2021-08-11 21:46:02,DE-SL,1239631,679666,592189
173,2021-08-11 21:46:02,DE-SN,4077949,2158663,1998752
174,2021-08-11 21:46:02,DE-ST,2368212,1276117,1169309
175,2021-08-11 21:46:02,DE-TH,2275121,1200646,1125694
176,2021-08-12 21:46:02,DE-BB,2668017,1437355,1309854
177,2021-08-12 21:46:02,DE-BE,4225251,2291334,2023605
178,2021-08-12 21:46:02,DE-BW,12681351,6737722,6265293
179,2021-08-12 21:46:02,DE-BY,14748942,7929102,7157128
180,2021-08-12 21:46:02,DE-HB,904557,489310,446524
181,2021-08-12 21:46:02,DE-HE,7190828,3932095,3437635
182,2021-08-12 21:46:02,DE-HH,2162465,1211951,1009822
183,2021-08-12 21:46:02,DE-MV,1834334,981484,897445
184,2021-08-12 21:46:02,DE-NI,9428739,5242912,4509222
185,2021-08-12 21:46:02,DE-NW,21731593,11889628,10455079
186,2021-08-12 21:46:02,DE-RP,4833295,2630237,2322790
187,2021-08-12 21:46:02,DE-SH,3584637,1954770,1732692
188,2021-08-12 21:46:02,DE-SL,1246529,681297,597912
189,2021-08-12 21:46:02,DE-SN,4091110,2163942,2007133
190,2021-08-12 21:46:02,DE-ST,2379449,1279422,1178057
191,2021-08-12 21:46:02,DE-TH,2282195,1202654,1130910
192,2021-08-13 21:46:02,DE-BB,2681762,1442238,1319448
193,2021-08-13 21:46:02,DE-BE,4247420,2298517,2039346
194,2021-08-13 21:46:02,DE-BW,12738973,6751690,6311495
195,2021-08-13 21:46:02,DE-BY,14831610,7944206,7227044
196,2021-08-13 21:46:02,DE-HB,918018,491390,458245
197,2021-08-13 21:46:02,DE-HE,7226135,3942020,3464281
198,2021-08-13 21:46:02,DE-HH,2183306,1216739,1026726
199,2021-08-13 21:46:02,DE-MV,1845868,985009,906029
200,2021-08-13 21:46:02,DE-NI,9481823,5256363,4550932
201,2021-08-13 21:46:02,DE-NW,21851876,11920227,10548381
202,2021-08-13 21:46:02,DE-RP,4854557,2636062,2338838
203,2021-08-13 21:46:02,DE-SH,3604417,1960761,1747191
204,2021-08-13 21:46:02,DE-SL,1250048,682006,600835
205,2021-08-13 21:46:02,DE-SN,4104532,2169355,2015743
206,2021-08-13 21:46:02,DE-ST,2389285,1282779,1185324
207,2021-08-13 21:46:02,DE-TH,2289124,1205093,1135697
208,2021-08-14 21:46:02,DE-BB,2691612,1445644,1326416
209,2021-08-14 21:46:02,DE-BE,4269832,2303695,2056910
210,2021-08-14 21:46:02,DE-BW,12783303,6766754,6343925
211,2021-08-14 21:46:02,DE-BY,14903903,7959890,7286239
212,2021-08-14 21:46:02,DE-HB,921088,492534,460439
213,2021-08-14 21:46:02,DE-HE,7252566,3949461,3484217
214,2021-08-14 21:46:02,DE-HH,2199488,1219631,1040808
215,2021-08-14 21:46:02,DE-MV,1854522,987761,912371
216,2021-08-14 21:46:02,DE-NI,9533282,5267326,4593822
217,2021-08-14 21:46:02,DE-NW,21939960,11942314,10615946
218,2021-08-14 21:46:02,DE-RP,4873653,2641375,2353110
219,2021-08-14 21:46:02,DE-SH,3622419,1966726,1760349
220,2021-08-14 21:46:02,DE-SL,1258118,684639,607136
221,2021-08-14 21:46:02,DE-SN,4114439,2173482,2021994
222,2021-08-14 21:46:02,DE-ST,2398251,1285740,1192298
223,2021-08-14 21:46:02,DE-TH,2293057,1206612,1138361
224,2021-08-15 21:46:02,DE-BB,2691612,1445644,1326416
225,2021-08-15 21:46:02,DE-BE,4269832,2303695,2056910
226,2021-08-15 21:46:02,DE-BW,12783303,6766754,6343925
227,2021-08-15 21:46:02,DE-BY,14903903,7959890,7286239
228,2021-08-15 21:46:02,DE-HB,921088,492534,460439
229,2021-08-15 21:46:02,DE-HE,7252566,3949461,3484217
230,2021-08-15 21:46:02,DE-HH,2199488,1219631,1040808
231,2021-08-15 21:46:02,DE-MV,1854522,987761,912371
232,2021-08-15 21:46:02,DE-NI,9533282,5267326,4593822
233,2021-08-15 21:46:02,DE-NW,21939960,11942314,10615946
234,2021-08-15 21:46:02,DE-RP,4873653,2641375,2353110
235,2021-08-15 21:46:02,DE-SH,3622419,1966726,1760349
236,2021-08-15 21:46:02,DE-SL,1258118,684639,607136
237,2021-08-15 21:46:02,DE-SN,4114439,2173482,2021994
238,2021-08-15 21:46:02,DE-ST,2398251,1285740,1192298
239,2021-08-15 21:46:02,DE-TH,2293057,1206612,1138361
240,2021-08-16 21:46:01,DE-BB,2693904,1446872,1327698
241,2021-08-16 21:46:01,DE-BE,4294701,2311901,2074328
242,2021-08-16 21:46:01,DE-BW,12807016,6775584,6361666
243,2021-08-16 21:46:01,DE-BY,14961072,7972915,7333306
244,2021-08-16 21:46:01,DE-HB,922330,493031,461422
245,2021-08-16 21:46:01,DE-HE,7271005,3956274,3497487
246,2021-08-16 21:46:01,DE-HH,2214993,1221690,1055199
247,2021-08-16 21:46:01,DE-MV,1856190,988219,913753
248,2021-08-16 21:46:01,DE-NI,9556717,5272394,4613786
249,2021-08-16 21:46:01,DE-NW,22049683,11980516,10691776
250,2021-08-16 21:46:01,DE-RP,4879457,2643155,2357513
251,2021-08-16 21:46:01,DE-SH,3637658,1973063,1770482
252,2021-08-16 21:46:01,DE-SL,1260125,685229,608761
253,2021-08-16 21:46:01,DE-SN,4124898,2178690,2027690
254,2021-08-16 21:46:01,DE-ST,2399917,1286530,1193487
255,2021-08-16 21:46:01,DE-TH,2298702,1211578,1141331
